city,state,lga,population2026,growthRate,note
"Ushongo","Benue","Ushongo",303743,0.023213587915863698,""
"Guyuk","Adamawa","Guyuk",303334,0.027446304757969164,""
"Brass","Bayelsa","Brass",302766,0.025178613754105683,""
"Koko/Besse","Kebbi","Koko/Besse",302396,0.03404105443491168,""
"Garko","Kano","Garko",301690,0.03158808966941584,""
"Ifedore","Ondo","Ifedore",301581,0.02718674109925434,""
"Bagwai","Kano","Bagwai",300901,0.03159219160329951,""
"Kirfi","Bauchi","Kirfi",300682,0.03690956931363987,""
"Ethiope West","Delta","Ethiope West",300570,0.019890875035628586,""
"Dandume","Katsina","Dandume",300266,0.036951852082081516,""
"Orhionmwon","Edo","Orhionmwon",299648,0.02468633411870913,""
"Eleme","Rivers","Eleme",299500,0.022962869351076165,""
"Isiala-Mbano","Imo","Isiala Mbano",298703,0.020791541219127962,""
"Kontagora","Niger","Kontagora",298358,0.03430607844360778,""
"Ethiope East","Delta","Ethiope East",297980,0.01989615528105504,""
"Ikwerre","Rivers","Ikwerre",297534,0.022966849347095142,""
"Ekiti West","Ekiti","Ekiti West",297448,0.02554484052144712,""
"Isa","Sokoto","Isa",297335,0.03471255567928733,""
"Illela","Sokoto","Illela",296972,0.034695171664099966,""
"Garki","Jigawa","Garki",295906,0.034462747510907166,""
"Ogbia","Bayelsa","Ogbia",295373,0.02518421335776777,""
"Awka South","Anambra","Awka South",295336,0.022390849799908574,""
"Gwandu","Kebbi","Gwandu",295077,0.03404085322904504,""
"Anka","Zamfara","Anka",295068,0.0366539603351661,""
"Rabah","Sokoto","Rabah",295021,0.03469306875133715,""
"Abo-Mbaise","Imo","Aboh Mbaise",293917,0.020786157842823894,""
"Ile-Oluji-Okeigbo","Ondo","Ile-Oluji/Okeigbo",293901,0.027187703147608433,""
"Tsanyawa","Kano","Tsanyawa",293754,0.031580869571324666,""
"Ipokia","Ogun","Ipokia",292128,0.0337557371306032,""
"Ganye","Adamawa","Ganye",292082,0.02744838697195351,""
"Obubra","Cross River","Obubra",291949,0.026644676691094826,""
"Ado","Benue","Ado",291794,0.02321748552632963,""
"Barkin Ladi","Plateau","Barkin Ladi",291294,0.024417005742902287,""
"Obi Ngwa","Abia","Obi Ngwa",291003,0.023771662573967678,""
"Bokkos","Plateau","Bokkos",290847,0.024412150072556704,""
"Bosso","Niger","Bosso",290797,0.03429792924873909,""
"Hong","Adamawa","Hong",290739,0.02744068359637275,""
"Sabuwa","Katsina","Sabuwa",290669,0.03695181423490346,""
"Ogoja","Cross River","Ogoja",290276,0.026638938403644286,""
"Suru","Kebbi","Suru",290060,0.03405250474139776,""
"Jada","Adamawa","Jada",289384,0.027426782030753438,""
"Shomgom","Gombe","Shongom",287584,0.03275480045822965,""
"Orumba South","Anambra","Orumba South",287354,0.022386519700279717,""
"Dandi","Kebbi","Dandi",285591,0.034041906086049734,""
"Lokoja","Kogi","Lokoja",285521,0.018822748585171523,""
"Kabo","Kano","Kabo",285266,0.031587778585402626,""
"Kaura","Kaduna","Kaura",284444,0.024694782574237406,""
"Biase","Cross River","Biase",284380,0.0266314805254817,""
"Biu","Borno","Biu",283297,0.02415631834860732,""
"Charanchi","Katsina","Charanchi",283037,0.03695168729918552,""
"Sandamu","Katsina","Sandamu",282915,0.036945406564407035,""
"Ikole","Ekiti","Ikole",282309,0.025560080356591408,""
"Udenu","Enugu","Udenu",280760,0.022849814928157075,""
"Doguwa","Kano","Doguwa",280632,0.031594966861125506,""
